year,inflacion,pib_crecimiento,inflacion_var_interanual,pib_var_interanual,inflacion_ma3,pib_ma3,inflacion_tendencia,inflacion_residuo,pib_tendencia,pib_residuo
1994,13.5344687273427,4.51902837637206,NA,NA,NA,NA,16.030766301479844,-2.4962975741371434,4.588743958610792,-0.06971558223873142
1995,23.1864981102567,4.15395304333353,9.652029382914,-0.3650753330385301,NA,NA,15.479421127324258,7.707076982932442,4.551965370828739,-0.3980123274952092
1996,17.5114524814591,1.35045949139338,-5.675045628797601,-2.80349355194015,18.077473106352834,3.341146970366323,14.928075953168673,2.583376528290426,4.515186783046701,-3.164727291653321
1997,13.2480440791191,5.4761657765486,-4.263408402339998,4.1257062851552195,17.981998223611633,3.6601927704251693,14.376730779013087,-1.1286866998939864,4.478408195264649,0.9977575812839508
1998,11.6592997742233,7.15530857859194,-1.5887443048958012,1.6791428020433408,14.139598778267166,4.660644615511306,13.825385604857502,-2.166085830634202,4.441629607482611,2.7136789711093297
1999,10.0452817292494,4.21481117123987,-1.6140180449739,-2.94049740735207,11.650875194197267,5.61542850879347,13.274040430701916,-3.2287587014525165,4.404851019700558,-0.190039848460688
2000,10.9615496593622,3.86871808953644,0.9162679301128005,-0.34609308170343045,10.888710387611633,5.07961261312275,12.722695256546103,-1.7611455971839032,4.368072431918506,-0.4993543423820661
2001,11.2556157091172,3.49116989434005,0.29406604975499917,-0.3775481951963897,10.754149032576267,3.858233051705453,12.171350082390518,-0.9157343732733185,4.331293844136468,-0.8401239497964177
2002,9.16752048509119,3.41687639041064,-2.0880952240260093,-0.07429350392941014,10.461561951190196,3.5922547914290432,11.620004908234932,-2.4524844231437424,4.2945152563544156,-0.8776388659437755
2003,9.44758091616984,4.31717986636224,0.28006043107865075,0.9003034759516,9.95690570345941,3.7417420503709766,11.068659734079347,-1.6210788179095061,4.257736668572363,0.059443197789876834
2004,12.3148150178852,4.42459959654504,2.8672341017153595,0.10741973018279971,10.309972139715411,4.052885284439307,10.517314559923761,1.7975004579614389,4.220958080790325,0.20364151575471467
2005,13.7982949108987,3.97666636818026,1.4834798930135005,-0.4479332283647799,11.85356361498458,4.239481943695846,9.965969385768176,3.832325525130525,4.184179493008273,-0.20751312482801287
2006,11.4705968149052,7.3266954325067,-2.327698095993501,3.35002906432644,12.52790224789637,5.242653799077333,9.41462421161259,2.0559726032926093,4.14740090522622,3.1792945272804793
2007,9.35724456417157,8.21513198348715,-2.11335225073363,0.888436550980451,11.542045429991823,6.506164594724702,8.863279037457005,0.4939655267145646,4.110622317444182,4.1045096660429685
2008,13.4244635507284,4.73817487754022,4.06721898655683,-3.476957105946931,11.417434976601724,6.760000764511356,8.31193386330142,5.11252968742698,4.07384372966213,0.66433114787809
2009,7.84270167700654,-0.873455942787785,-5.5817618737218595,-5.6116308203280045,10.20813659730217,4.026616972746528,7.760588689145834,0.08211298786070564,4.037065141880092,-4.910521084667877
2010,5.66275708420021,5.36034352634111,-2.1799445928063292,6.233799469128895,8.97664077064505,3.0750208203645144,7.2092435149902485,-1.5464864307900381,4.0002865540980395,1.3600569722430702
2011,4.87799830970702,4.40315923970431,-0.7847587744931905,-0.9571842866367994,6.127819023637923,2.963348941085878,6.657898340834436,-1.7799000311274158,3.963507966315987,0.4396512733883231
2012,4.49545314354605,4.88259241025739,-0.3825451661609698,0.47943317055307944,5.012069512484427,4.8820317254342696,6.10655316667885,-1.6111000231328,3.926729378533949,0.9558630317234407
2013,5.23133614174428,2.49476611209954,0.73588299819823,-2.3878262981578495,4.868262531665784,3.926839254020413,5.555207992523265,-0.3238718507789846,3.8899507907518966,-1.3951846786523565
2014,4.51920098516954,3.54210987765977,-0.7121351565747398,1.04734376556023,4.748663423486623,3.6398228000055664,5.003862818367679,-0.48466183319813894,3.8531722029698443,-0.31106232531007416
2015,0.801982005099623,3.65208096802883,-3.717218980069917,0.10997109036906005,3.517506377337815,3.2296523192627133,4.452517644212094,-3.6505356391124706,3.816393615187806,-0.16431264715897598
2016,-0.0174788505908217,4.20432325175899,-0.8194608556904447,0.5522422837301599,1.7679013798927812,3.7995046991491965,3.9011724700565082,-3.91865132064733,3.779615027405754,0.4247082243532363
2017,1.62590692991732,4.1576989627609,1.6433857805081418,-0.0466242889980899,0.8034700281420409,4.004701060849573,3.3498272959009228,-1.7239203659836027,3.7428364396237157,0.4148625231371845
2018,2.22111461526581,2.6159044043379,0.5952076853484898,-1.5417945584230002,1.2765142315307698,3.6593088729525967,2.7984821217453373,-0.5773675064795274,3.7060578518416634,-1.0901534475037633
2019,2.09604635327807,2.41751181762513,-0.12506826198773968,-0.19839258671277005,1.9810226328204006,3.0637050615746433,2.247136947589752,-0.1510905943116816,3.669279264059611,-1.251767446434481
2020,0.724911478131376,-4.27335432161462,-1.3711348751466943,-6.69086613923975,1.6806908155584193,0.2533539667828035,1.6957917734341663,-0.9708802953027903,3.632500676277573,-7.905854997892193
2021,1.72647755109241,7.93576224743147,1.001566072961034,12.20911656904609,1.515811794167286,2.0266399144806604,1.1444465992785808,0.5820309518138291,3.5957220884955206,4.34004015893595
2022,8.27477490232654,4.55149177958398,6.54829735123413,-3.3842704678474904,3.5753879771834423,2.7379665684669434,0.593101425122768,7.681673477203772,3.558943500713468,0.9925482788705118
2023,0.525193508693455,5.11192183224598,-7.749581393633084,0.5604300526620003,3.5088153207041355,5.8663919530871445,0.041756250967182496,0.48343725772627255,3.52216491293143,1.5897569193145502
2024,-0.412853001047069,4.32122429646145,-0.9380465097405241,-0.7906975357845303,2.795705136657642,4.66154596943047,-0.509588923188403,0.09673592214133397,3.4853863251493777,0.8358379713120723
